Date,Close,High,Low,Open,Volume
2023-04-10,3055.81005859375,3063.8630909248423,3010.488947837215,3015.1708902133228,2203187
2023-04-11,3009.365478515625,3064.7527681622723,2989.0925298427164,3056.372136610268,2348779
2023-04-12,3035.44384765625,3053.51619236949,2995.5069674956644,3022.615370260282,2417727
2023-04-13,2986.00244140625,3024.5347352109593,2977.715312065279,3005.806965952687,4174070
2023-04-17,2939.791748046875,2962.1713421508034,2874.946843268329,2934.735341501115,5505048
2023-04-18,2931.598388671875,2956.038220735515,2912.73025124703,2954.258945363213,2617302
2023-04-19,2893.065673828125,2940.259557446139,2876.1169524508964,2931.5979648007956,3298034
2023-04-20,2907.299072265625,2914.9774122745457,2882.2038146421623,2893.440476687551,2419999
2023-04-21,2959.783447265625,2963.154308432381,2903.5532765717453,2912.168004367397,1929184
2023-04-24,2972.846435546875,2978.605133726411,2927.290995096919,2950.6540724750807,1640676
2023-04-25,2973.969970703125,2988.203030634268,2947.2828976033015,2980.5246904118535,2024090
2023-04-26,2994.710693359375,3004.308675175186,2978.6517225458874,2978.6517225458874,2000029
2023-04-27,2985.15966796875,2995.6940385765142,2968.96010122316,2982.397367620364,2434446
2023-04-28,3014.468505859375,3021.9596134300436,2992.9315715937028,2996.8174922018025,2931312
2023-05-02,3014.60888671875,3029.216637993755,3005.806926726415,3029.216637993755,2321159
2023-05-03,2977.621826171875,3011.425543901782,2971.3012035284246,3011.425543901782,2468285
2023-05-04,3015.826416015625,3019.337872913665,2975.8426725253744,2977.855816369394,1953253
2023-05-05,3025.1904296875,3037.6444430707684,3005.854097657769,3015.1711179679023,1710027
2023-05-08,3043.824462890625,3047.80411390233,3025.7521196330254,3038.5805959957215,928235
2023-05-09,3074.397705078125,3088.209436182946,3039.517231610019,3045.697487480777,1107375
2023-05-10,3077.7216796875,3096.168486888955,3058.2916188670115,3080.718077079892,1559987
2023-05-11,3073.367431640625,3099.1649806032747,3063.863179785663,3098.509554373704,1719623
2023-05-12,3066.016845703125,3080.7180991166333,3052.6264447173935,3070.5581926647205,1027479
2023-05-15,3047.991455078125,3082.590964685658,3041.7176978040493,3075.099856630529,1150390
2023-05-16,3050.89404296875,3076.0361651693447,3043.6838973752265,3049.068131149876,986306
2023-05-17,3004.58984375,3071.3543919557687,2994.804629290408,3048.8342019877773,1588815
2023-05-18,2996.302490234375,3023.551255299397,2991.7609150849808,3020.7420901209134,1369364
2023-05-19,3017.839599609375,3028.748433579071,2999.299062625924,3005.806916614258,1152449
2023-05-22,3088.865234375,3097.995023831739,3012.4091915481504,3024.535379001922,1333243
2023-05-23,3087.3203125,3116.254630980859,3080.81245696064,3095.7009453807877,1687418
2023-05-24,3093.21923828125,3106.1880826590545,3067.60891974456,3067.60891974456,1016555
2023-05-25,3083.99560546875,3095.7004620251064,3059.2750398659177,3084.463799731004,1374917
2023-05-26,3117.143798828125,3126.2735873258735,3081.654763701585,3083.9957351112644,1791115
2023-05-29,3109.137451171875,3157.5018226999487,3101.3185162462128,3147.01431788401,1210372
2023-05-30,3105.251708984375,3115.317886043387,3091.346475980778,3104.128088430118,1344224
2023-05-31,3080.250244140625,3116.020242293331,3057.4490906976966,3098.5098215112716,5815424
2023-06-01,3112.55517578125,3127.5373908271285,3087.740882111514,3103.191291377576,1177314
2023-06-02,3095.325927734375,3123.6983164939847,3087.6942242667337,3114.662258881967,2030661
2023-06-05,3079.68798828125,3115.3644809044154,3076.0830297903385,3104.127819115761,1861468
